,ID,Year,State,region,domestic,commercial,industrial_low_volt,industrial_high_volt,public_lighting,traction,agriculture,public_water_works,miscellaneous,total_energy_sold
40,949,2013-14,Goa,WR,808,291,132.98,1698.86,24,0,21,145,36,3156.84
41,943,2013-14,Chhattisgarh,WR,4097.07,1237.32,517.23,18225.99,102.23,837.34,2492.2,224.87,18.94,27753.19
42,942,2013-14,Uttarakhand,NR,2639.93,993.87,287.66,5747.46,34.06,11.49,343.99,191.08,289.89,10539.43
43,956,2013-14,Bihar,ER,3281.01,819.19000000000,281.01,1914.74,45.7,523.95,321.79,58.52,1095.03,8340.9400000000
44,940,2013-14,Rajasthan,NR,9446.4108859315,3352.2117627376,2840.2448228136,14974.576984790,372.20600076045,403.58,17262.835027376,1670.9378828897,662.26663269961,50985.27
45,939,2013-14,Punjab,NR,10344.14,2969.3,3209,10213.69,158.78,140.42,10223.57,427.19,1353.16,39039.25
46,938,2013-14,Jammu & Kashmir,NR,2429.74,644.92,392.69,780.41,39.08,0,280.73,512.98,677.22,4977.36
47,937,2013-14,Himachal Pradesh,NR,1774.73,568.51,204.68,4427.46,12.45,0,47.64,472.63,272.27,7780.3700000000
48,936,2013-14,Haryana,NR,6278.1399999999,2874.87,1532.27,8499.35,97.569999999999,585.51,8535.2199999999,783.33999999999,774,29960.27
49,935,2013-14,Delhi,NR,11707.48,6875.78,2874.23,173.99,400.02,723.90000000000,29.23,552.58,644.69000000000,23981.9
50,934,2013-14,Chandigarh,NR,608.24,446.18,124.9,125.59,21.2,0,1.46,(B),93.349999999999,1420.92
51,950,2013-14,Andhra Pradesh,SR,16835.775103324,6550.2056676704,3070.8771627691,25845.3,1137.4489593707,1881.02,21857.350767506,1236.0441187751,919.22822058326,79333.25
52,951,2013-14,Karnataka,SR,9697.5400000000,5942.44,1815.53,21621.42,819.71,108.93,18077.62,2403.51,608.80000000000,61095.5
53,952,2013-14,Kerala,SR,8827.5363961705,2954.8291520401,1100.01,4228.1615810918,324.01287069751,204.26,317.81,200.00196134891,455.02803865108,18611.65
54,941,2013-14,Uttar Pradesh,NR,21673.471,4002.778,2672.136,23298.5905,782.48349999999,811.84,10210.931,1602.7115,4485.561,69540.502499999
55,968,2013-14,Tripura,NER,390.4,64.650000000000,34.14,68.97,34.75,0,29.56,67.510000000000,32.3,722.28
56,967,2013-14,Nagaland,NER,248,48,24,0,6,0,0.05,3.45,65,394.5
57,966,2013-14,Mizoram,NER,200.15,23.57,2.09,4.99,7.48,0,0.06,40.21,24.24,302.79
58,965,2013-14,Meghalaya,NER,438.75685510702,108.53812585486,7.0225523086022,817.28489676906,1.5999206129163,0,0.1954101511958,45.799254186536,173.68298500979,1592.88
59,964,2013-14,Manipur,NER,213.92673122081,32.350459354634,20.579974143162,14.836481359330,5.0924936017519,0,1.6589979156222,24.464969262024,85.049893142661,397.95999999999
60,963,2013-14,Assam,NER,1941,746,81,2563.24,13,0,36,72,534,5986.24
61,962,2013-14,Arunachal Pradesh,NER,140.43520669228,43.013064396271,34.657348139026,159.76864052315,11.161359689165,0,0.0612140385146,8.1312647826917,83.291901738890,480.51999999999
62,961,2013-14,A & N Islands,ER,107.39,55.290000000000,11.98,0,9.27,0,0.88,0,30.96,215.77
63,953,2013-14,Tamil Nadu,SR,20201,7757,6583.5258469293,27621.434153070,1020.51,766,12295,2007.49,1806,80057.960000000
64,954,2013-14,Puducherry,SR,607.39,185.17,160.43,1356.51,17.16,0,57,55.71,195.66,2635.03
